config_id,design_label,seed,node_count,mac,retry_limit,radio_range_m,aggregation_threshold,security_enabled,edge_ai_enabled,edge_ai_threshold,pdr,latency_mean,energy_per_delivered_packet,total_tx_bytes,communication_saving_ratio,lifetime_proxy,security_coverage,security_overhead_bytes_per_packet,edge_ai_saving_ratio,edge_event_recall,edge_ai_cpu_energy_j,hop_count,link_prr,generated_packets,is_pareto,dominates_count,dominated_by_count,recommendation_rank
sweep_017,Automatic sweep 017,42069,35,aloha,0,40.0,0.35,False,False,2.5,0.7197422004211966,0.028005,0.00025169011889811244,31968,0.4714285714285714,870305.9180006713,0.0,0.0,0.0,1.0,0.0,3,0.9995594479432075,222,False,9,67,184
sweep_018,Automatic sweep 018,42069,35,aloha,0,40.0,0.35,False,True,2.5,0.7197422004211966,0.02721598064,0.0001242040048342674,15715,0.740162037037037,1763609.7988274011,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,3,0.9995594479432075,222,False,22,8,135
sweep_019,Automatic sweep 019,42069,35,aloha,0,40.0,0.35,True,False,2.5,0.7197422004211966,0.029517,0.0003158630963516653,39960,0.3392857142857143,693488.4211210418,1.0,12.0,0.0,1.0,0.0,3,0.9995594479432075,222,False,9,43,130
sweep_020,Automatic sweep 020,42069,35,aloha,0,40.0,0.35,True,True,2.5,0.7197422004211966,0.028666484576000004,0.00015575144055043395,19644,0.6751984126984127,1406390.8443170388,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,3,0.9995594479432075,222,False,34,12,59
sweep_021,Automatic sweep 021,42069,35,aloha,0,40.0,0.45,False,False,2.5,0.7284433449052816,0.026546999999999998,0.0002486837188739159,23760,0.6071428571428572,1170957.0533099945,0.0,0.0,0.0,1.0,0.0,3,0.9995594479432075,165,False,12,50,169
sweep_022,Automatic sweep 022,42069,35,aloha,0,40.0,0.45,False,True,2.5,0.7284433449052816,0.025817280416,0.00012288190378047998,11680,0.8068783068783069,2369738.307269202,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,3,0.9995594479432075,165,False,28,4,122
sweep_023,Automatic sweep 023,42069,35,aloha,0,40.0,0.45,True,False,2.5,0.7284433449052816,0.028059,0.00031209015991430424,29700,0.5089285714285714,933057.1484174017,1.0,12.0,0.0,1.0,0.0,3,0.9995594479432075,165,False,12,31,110
sweep_024,Automatic sweep 024,42069,35,aloha,0,40.0,0.45,True,True,2.5,0.7284433449052816,0.027267784352000002,0.0001540525101959349,14601,0.7585813492063492,1890251.2804783601,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,3,0.9995594479432075,165,False,43,3,46
sweep_025,Automatic sweep 025,42069,35,aloha,0,55.0,0.0,False,False,2.5,0.7683349743115024,0.022072,0.00027113174196797895,40320,0.0,400025.6016385048,0.0,0.0,0.0,1.0,0.0,2,0.9989182293741451,420,False,6,43,165
sweep_026,Automatic sweep 026,42069,35,aloha,0,55.0,0.0,False,True,2.5,0.7683349743115024,0.021524287616000004,0.00013352263716997915,19821,0.5084077380952381,812294.0087377363,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,420,False,25,9,103
sweep_027,Automatic sweep 027,42069,35,aloha,0,55.0,0.0,True,False,2.5,0.7683349743115024,0.02308,0.0003396955868550428,50400,-0.25,319284.8020434227,1.0,12.0,0.0,1.0,0.0,2,0.9989182293741451,420,False,4,28,109
sweep_028,Automatic sweep 028,42069,35,aloha,0,55.0,0.0,True,True,2.5,0.7683349743115024,0.02249129024,0.00016722862331645973,24777,0.3854910714285714,648571.0164508742,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,420,False,40,10,39
sweep_029,Automatic sweep 029,42069,35,aloha,0,55.0,0.35,False,False,2.5,0.8022814104492653,0.01867,0.00025965951259339793,21312,0.4714285714285714,756805.192289063,0.0,0.0,0.0,1.0,0.0,2,0.9989182293741451,222,False,16,28,131
sweep_030,Automatic sweep 030,42069,35,aloha,0,55.0,0.35,False,True,2.5,0.8022814104492653,0.01826065376,0.00012807308159240753,10477,0.7401537698412699,1534371.352001423,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,222,False,47,5,78
sweep_031,Automatic sweep 031,42069,35,aloha,0,55.0,0.35,True,False,2.5,0.8022814104492653,0.019678,0.000325322258001521,26640,0.3392857142857143,604052.3281902592,1.0,12.0,0.0,1.0,0.0,2,0.9989182293741451,222,False,16,19,65
sweep_032,Automatic sweep 032,42069,35,aloha,0,55.0,0.35,True,True,2.5,0.8022814104492653,0.019227656384,0.0001603528872350408,13096,0.6751984126984127,1225495.036268911,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,222,False,77,6,22
sweep_033,Automatic sweep 033,42069,35,aloha,0,55.0,0.45,False,False,2.5,0.8119803922029116,0.017698,0.00025655791937884804,15840,0.6071428571428572,1018246.9859889215,0.0,0.0,0.0,1.0,0.0,2,0.9989182293741451,165,False,19,17,120
sweep_034,Automatic sweep 034,42069,35,aloha,0,55.0,0.45,False,True,2.5,0.8119803922029116,0.017328186944,0.00012668815011542214,7787,0.8068700396825397,2062066.0093394106,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,165,False,53,1,67
sweep_035,Automatic sweep 035,42069,35,aloha,0,55.0,0.45,True,False,2.5,0.8119803922029116,0.018706,0.0003214363333231535,19800,0.5089285714285714,812724.9506559852,1.0,12.0,0.0,1.0,0.0,2,0.9989182293741451,165,False,19,11,55
sweep_036,Automatic sweep 036,42069,35,aloha,0,55.0,0.45,True,True,2.5,0.8119803922029116,0.018295189568,0.00015858237841044268,9734,0.7585813492063492,1647341.4685644421,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,165,False,86,1,18
sweep_037,Automatic sweep 037,42069,35,aloha,2,30.0,0.0,False,False,2.5,0.6369999999809263,0.04415146194824237,0.0002848836061982589,94096,-0.16686507936507944,459210.5566996459,0.0,0.0,0.0,1.0,0.0,4,0.9998043804234007,420,False,0,157,218
sweep_038,Automatic sweep 038,42069,35,aloha,2,30.0,0.0,False,True,2.5,0.6369999999809263,0.04270573368788346,0.00014033135537536138,46258,0.42636408730158726,932233.2777801568,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,420,False,2,50,202
