sigma_db,seed,area_width_m,area_height_m,n_unknown_nodes,n_anchors,mean_error_m,median_error_m,p25_error_m,p75_error_m,p90_error_m,max_error_m,failed_localizations,failure_rate
0,42069,100.0,100.0,80,4,5.382084842163255e-14,4.472702160074815e-14,2.842170943040401e-14,6.949948484877204e-14,9.949045521756713e-14,2.0691316789454157e-13,0,0.0
1,42069,100.0,100.0,80,4,8.201152224037157,7.333367695909509,4.146530214264159,10.762485659704613,14.355695106581166,24.849916361902068,0,0.0
2,42069,100.0,100.0,80,4,15.656854920817167,13.115172724546454,8.038142513454979,20.630547114094732,28.921671520782475,54.4311124394664,0,0.0
4,42069,100.0,100.0,80,4,36.56256942125779,28.99705220032603,20.990378581131147,48.381069156940605,67.88393492131922,132.42582787702992,2,0.025
6,42069,100.0,100.0,80,4,48.26033605346277,38.26235690159943,23.489766978967683,61.52373096042439,115.2656823185771,156.64797093658143,6,0.075
8,42069,100.0,100.0,80,4,60.333393807767486,46.78045281203221,28.72763945269819,86.08037280580687,119.4644751872246,197.60411852113938,24,0.3
