threshold,seed,n_nodes,n_timesteps,anomaly_probability,baseline_packets,transmitted_packets,communication_saving_ratio,true_positive,false_positive,true_negative,false_negative,precision,recall,f1,false_positive_rate,false_negative_rate,energy_saved_j
1.5,42069,25,200,0.05,5000,849,0.8302,207,642,4113,38,0.24381625441696114,0.8448979591836735,0.37842778793418647,0.13501577287066246,0.15510204081632653,0.20755
2.0,42069,25,200,0.05,5000,424,0.9152,171,253,4502,74,0.4033018867924528,0.6979591836734694,0.5112107623318386,0.05320715036803365,0.3020408163265306,0.2288
2.5,42069,25,200,0.05,5000,219,0.9562,118,101,4654,127,0.5388127853881278,0.4816326530612245,0.5086206896551723,0.02124079915878023,0.5183673469387755,0.23905
3.0,42069,25,200,0.05,5000,130,0.974,86,44,4711,159,0.6615384615384615,0.3510204081632653,0.45866666666666656,0.0092534174553102,0.6489795918367347,0.24350000000000002
3.5,42069,25,200,0.05,5000,75,0.985,57,18,4737,188,0.76,0.23265306122448978,0.35625,0.0037854889589905363,0.7673469387755102,0.24625000000000002
