active_time_ratio,duty_cycle_percent,average_power_w,lifetime_seconds,lifetime_hours,lifetime_days
0.01,1.0,0.000499,20040080.160320643,5566.688933422401,231.94537222593337
0.02,2.0,0.000898,11135857.461024499,3093.2937391734717,128.887239132228
0.05,5.0,0.002095,4773269.68973747,1325.9082471492973,55.24617696455405
0.1,10.0,0.00409,2444987.775061125,679.1632708503125,28.29846961876302
0.2,20.0,0.00808,1237623.7623762377,343.78437843784377,14.324349101576825
0.4,40.0,0.016059999999999998,622665.0062266501,172.96250172962502,7.206770905401043
0.8,80.0,0.03202,312304.8094940662,86.75133597057395,3.6146389987739145
