config_id,seed,node_count,mac,retry_limit,radio_range_m,aggregation_threshold,security_enabled,pdr,latency_mean,energy_per_delivered_packet,total_tx_bytes,communication_saving_ratio,lifetime_proxy,hop_count,link_prr,generated_packets,is_pareto,dominates_count,dominated_by_count,recommendation_rank
cfg_001,2026,20,aloha,0,25.0,0.0,False,0.664447576209997,0.030429714285714286,0.00018320181208927785,46080,0.0,684586.4002804066,4,0.9998830703536867,240,False,24,6,183
cfg_002,2026,20,aloha,0,25.0,0.0,True,0.664447576209997,0.032445714285714286,0.00023080827666610516,57600,-0.25,543383.7593462007,4,0.9998830703536867,240,False,14,48,227
cfg_003,2026,20,aloha,0,25.0,0.35,False,0.6798509878233966,0.026541714285714287,0.00017905100114618208,24384,0.4708333333333333,1293706.5832070676,4,0.9998830703536867,127,True,38,0,21
cfg_004,2026,20,aloha,0,25.0,0.35,True,0.6798509878233966,0.028557714285714287,0.00022557884410964185,30480,0.33854166666666663,1026866.9467959699,4,0.9998830703536867,127,False,22,20,169
cfg_005,2026,20,aloha,0,40.0,0.0,False,0.7506719300643595,0.022822285714285715,0.00024131979996170735,34560,0.0,460018.84237178357,3,0.9995594479432075,240,False,38,12,123
cfg_006,2026,20,aloha,0,40.0,0.0,True,0.7506719300643595,0.024334285714285715,0.0003028486758263478,43200,-0.25,366558.16544969357,3,0.9995594479432075,240,False,14,80,191
cfg_007,2026,20,aloha,0,40.0,0.35,False,0.7680742190325296,0.019906285714285717,0.0002358522073923794,18288,0.4708333333333333,869326.9462143941,3,0.9995594479432075,127,False,58,2,81
cfg_008,2026,20,aloha,0,40.0,0.35,True,0.7680742190325296,0.021418285714285716,0.0002959870210021613,22860,0.33854166666666663,692708.3441569012,3,0.9995594479432075,127,False,22,30,131
cfg_009,2026,20,aloha,0,55.0,0.0,False,0.8367581260127124,0.015214857142857143,0.0002489608329143793,23040,0.0,400025.6016385048,2,0.9989182293741451,240,False,90,6,51
cfg_010,2026,20,aloha,0,55.0,0.0,True,0.8367581260127124,0.016222857142857143,0.0003119180942331653,28800,-0.25,319284.8020434227,2,0.9989182293741451,240,False,30,34,95
cfg_011,2026,20,aloha,0,55.0,0.35,False,0.8561560895200053,0.013270857142857143,0.0002433201171491899,12192,0.4708333333333333,755953.8928601666,2,0.9989182293741451,127,True,130,0,7
